City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
207,Okahandja,,74.52,light rain,-21.9833,16.9167,Guesthouse Villa Nina
208,Hilo,US,70.61,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
216,Mahajanga,MG,89.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
220,Faya,SA,75.31,clear sky,18.3851,42.4509,املاك خالد الشعشوع
226,Lahat,ID,75.11,light rain,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
228,San Pedro,PH,81.63,scattered clouds,14.35,121.0167,Esquivel's Garden And Resort
229,Broken Hill,AU,80.31,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
232,Sambava,MG,78.48,overcast clouds,-14.2667,50.1667,Melrose
233,Meulaboh,ID,79.21,broken clouds,4.1363,96.1285,Kost Pria
235,Pangai,TO,81.54,light rain,-19.8,-174.35,Ha'apai Beach Resort
239,Kismayo,SO,83.08,scattered clouds,-0.3582,42.5454,Agan-Hotel
240,Sao Filipe,CV,74.82,clear sky,14.8961,-24.4956,Hotel Xaguate
241,Merauke,ID,81.73,overcast clouds,-8.4667,140.3333,
242,Itoman,JP,70.57,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
243,Daru,PG,81.16,overcast clouds,-9.0763,143.2092,Daru Lodge
245,Amarpur,IN,82.15,clear sky,25.0333,86.9,Amit kirana store
250,Cartagena,CO,80.22,haze,10.3997,-75.5144,Hotel Colombia Real - Cartagena
254,Mana,GF,78.08,light rain,5.6592,-53.7767,LE SAMANA
255,Rundu,,76.12,light rain,-17.9333,19.7667,Millennia Estate
258,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
259,Kudahuvadhoo,MV,83.46,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
265,Jardim,BR,70.03,light rain,-21.4803,-56.1381,Estancia Hotel - Jardim MS
270,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
272,Somerset East,ZA,70.21,heavy intensity rain,-32.7217,25.588,Mbali Lodge
276,Dingle,PH,78.57,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
278,Nampula,MZ,76.95,thunderstorm with light rain,-15.1165,39.2666,Ruby Backpackers
279,Sokoni,TZ,82.31,few clouds,-6.4333,39.55,Ujamaa Beach Resort
282,Harindanga,IN,84.27,overcast clouds,22.0383,88.3214,Hazi Home
290,Richards Bay,ZA,89.26,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
291,Kpandu,GH,89.71,overcast clouds,6.9954,0.2931,Emo House
293,Conakry,GN,79.74,clear sky,9.538,-13.6773,Riviera Royal Hotel
294,Ahuimanu,US,73.85,few clouds,21.4447,-157.8378,Paradise Bay Resort
296,Robertsport,LR,81.84,light rain,6.7533,-11.3686,Kwepunha Retreat
297,Alyangula,AU,82.27,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
298,Poum,NC,81.66,few clouds,-20.2333,164.0167,
300,Kathmandu,NP,70.02,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
302,Oriximina,BR,77.43,moderate rain,-1.7656,-55.8661,Pousada Tia Amélia
304,Saint-Pierre,RE,79.92,broken clouds,-21.3393,55.4781,Lindsey Hôtel
308,Palmerston,AU,75.18,light intensity shower rain,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
310,Zhuhai,CN,78.85,clear sky,22.2769,113.5678,珠海粤财假日酒店
311,Arraial Do Cabo,BR,87.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
312,Denpasar,ID,82.06,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
318,Tsumeb,,72.84,light rain,-19.2333,17.7167,TeaterHuis Guest House
319,Simao,CN,70.72,clear sky,22.7886,100.9748,Changyu Hotel
322,Novo Aripuana,BR,79.16,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
323,Nicoya,CR,76.42,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
326,Atar,MR,88.03,clear sky,20.5169,-13.0499,Oumou Elghoura
328,Barra Patuca,HN,78.22,clear sky,15.8,-84.2833,
330,Tautira,PF,80.4,light rain,-17.7333,-149.15,Pension Oaoa
334,Tual,ID,84.81,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
335,Dhidhdhoo,MV,83.62,overcast clouds,6.8833,73.1,Dhidhoo beach
336,Manacapuru,BR,79.47,overcast clouds,-3.2997,-60.6206,Novo Hotel
339,Veraval,IN,82.62,clear sky,20.9,70.3667,Lords Inn Somnath
340,Tura,IN,74.26,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
341,Eyl,SO,82.99,clear sky,7.9803,49.8164,Amiin Hotel
348,Pizarro,CO,77.58,light rain,4.9533,-77.366,Hotel Limonar
350,Caravelas,BR,87.1,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
356,Dennery,LC,80.73,scattered clouds,13.8996,-60.8879,The Fox Grove Inn
366,Alta Gracia,AR,70.52,overcast clouds,-31.6529,-64.4283,Hotel Ritz
367,Padang,ID,78.89,moderate rain,-0.9492,100.3543,Mercure Padang
372,Kroya,ID,79.48,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
375,Basco,PH,74.12,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
377,Dicabisagan,PH,76.75,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
379,Belmonte,BR,84.22,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
382,Antananarivo,MG,78.76,light rain,-18.9137,47.5361,Hotel Carlton
387,Rumphi,MW,74.03,light rain,-11.0186,33.8575,Finst Rumphi Earthbag House Lodge
390,Aswan,EG,75.79,clear sky,24.0934,32.907,Nuba Nile
392,Aranos,,88.43,overcast clouds,-24.1333,19.1167,Ley-Lia Guest House
396,Axim,GH,87.08,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
400,Gorontalo,ID,76.32,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
402,Marovoay,MG,85.44,overcast clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
404,Calabozo,VE,82.96,broken clouds,8.9242,-67.4293,Hotel Giardini
405,Mabaruma,GY,77.74,few clouds,8.2,-59.7833,Monty Brooms Guest House
406,Mtambile,TZ,84.92,broken clouds,-5.3833,39.7,
408,Paracuru,BR,81.1,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
410,Kahului,US,74.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
411,Matara,LK,78.69,light rain,5.9485,80.5353,Amaloh Boutique Resort
417,Shakiso,ET,86.7,few clouds,5.75,38.9167,Bealu Girma Hottel
419,Srivardhan,IN,84.76,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
424,Nisia Floresta,BR,85.01,light rain,-6.0911,-35.2086,Rancho Crepusculo
435,Basoko,CD,89.98,broken clouds,1.2391,23.616,Jackyna Hotel
437,Pingxiang,CN,72.91,overcast clouds,27.6167,113.85,Haiyuntian Hotel
441,Mangai,CD,85.44,broken clouds,-4.05,19.5333,
443,Lorengau,PG,82.18,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
445,Amapa,BR,80.24,broken clouds,1.0,-52.0,
446,Mitu,CO,75.27,light rain,1.1983,-70.1733,
